StoryTitle,SectionTitle,Sentence
A TERROR IN THE DARK,Chapter 2,locator Returns a Locator object to
A TERROR IN THE DARK,Chapter 2, perform advanced interactions
A TERROR IN THE DARK,Chapter 2,"login_ button = page. Locator ("" button #login"")"
A TERROR IN THE DARK,Chapter 2,await login_ button .click()
A TERROR IN THE DARK,Chapter 2,query_ selector Selects a single 
A TERROR IN THE DARK,Chapter 2, element that matches a selector
A TERROR IN THE DARK,Chapter 2,"element = await page. query_ selector (""h1"")"
A TERROR IN THE DARK,Chapter 2,print (await element .text_ content ())
A TERROR IN THE DARK,Chapter 2,query_ selector _all() Selects all 
A TERROR IN THE DARK,Chapter 2,elements that match the selector
A TERROR IN THE DARK,Chapter 2,"elements = await page. query_ selector_ all(""li"")"
A TERROR IN THE DARK,Chapter 2,for el in elements :
A TERROR IN THE DARK,Chapter 2,print (await el. inner_ text())
A TERROR IN THE DARK,Chapter 2,inner_ text() Gets the visible
A TERROR IN THE DARK,Chapter 2,e text of an element
A TERROR IN THE DARK,Chapter 2,"text = await page. inner_ text (""h1"")"
A TERROR IN THE DARK,Chapter 2,inner_ html Gets the inner 
A TERROR IN THE DARK,Chapter 2,HTML content of an element
A TERROR IN THE DARK,Chapter 2,"html = await page. inner_ html (""div# container "")"
A TERROR IN THE DARK,Chapter 2,set_ viewport _size Sets the dimension of the viewport
A TERROR IN THE DARK,Chapter 2,"await page. set_ viewport _size({"" width"": 1280, ""height"": 720})"
A TERROR IN THE DARK,Chapter 2,add_ cookies Adds cookies to the browser context
A TERROR IN THE DARK,Chapter 2,await context .add_ cookies
A TERROR IN THE DARK,Chapter 2,"([{"" name"": ""token"", ""value"": ""abc123"", ""url"": ""link"" }])"
A TERROR IN THE DARK,Chapter 2,clear_ cookies Clears all cookies from the browser context
A TERROR IN THE DARK,Chapter 2,await context .clear_ cookies ()
A TERROR IN THE DARK,Chapter 3,evaluate  Executes JS in the page context
A TERROR IN THE DARK,Chapter 3,"result = await page. Evaluate (""() => document .title"")"
A TERROR IN THE DARK,Chapter 3,"close  Closes the page, context, or browser"
A TERROR IN THE DARK,Chapter 3,await page. close()
A TERROR IN THE DARK,Chapter 3,await context .close()
A TERROR IN THE DARK,Chapter 3,await browser .close()
A TERROR IN THE DARK,Chapter 3,route Intercepts and handles network requests
A TERROR IN THE DARK,Chapter 3,"await page. Route (""**/*"",  lambda route: route. abort())"
A TERROR IN THE DARK,Chapter 3,on Listens for page events like console
A TERROR IN THE DARK,Chapter 3," request, or dialog"
A TERROR IN THE DARK,Chapter 3,"page. on("" console"", lambda msg: print "
A TERROR IN THE DARK,Chapter 3,"t (f"" Console :{msg. text }""))"
A TERROR IN THE DARK,Chapter 3,expect  Asserts that a condition holds true during a test
A TERROR IN THE DARK,Chapter 3,from play- wright .async_ api import expect
A TERROR IN THE DARK,Chapter 3,"await expect (page. Locator (""text = Success "
A TERROR IN THE DARK,Chapter 3,)). to_be_ visible ()
A TERROR IN THE DARK,Chapter 3,wait_ for_  timeout Waits for a 
A TERROR IN THE DARK,Chapter 3,specified time in milli- seconds
A TERROR IN THE DARK,Chapter 3,await page. Wait _for_ timeout (2000)
A TERROR IN THE DARK,Chapter 3,dialog. accept /  dialog. dismiss
A TERROR IN THE DARK,Chapter 3,Handles JS alert/ prompt/ confirm dialogs
A TERROR IN THE DARK,Chapter 3,"page .on("" dialog"", lambda dialog: dialog. Accept ())"
A TERROR IN THE DARK,Chapter 3,"await page. Click (""# alert- button "")"
